,nb_classes,divergence_idx,nb_branch,shift,percent,diverged_planes_per_block_0,diverged_planes_per_block_1,diverged_planes_per_block_2,diverged_planes_per_block_3
0,62,15,1,0,1.0,64,128,256,512
1,62,15,2,1,0.9970031771635709,64,128,180,361
2,62,15,4,2,0.9892832796781053,64,128,126,254
3,62,15,8,2,0.9831171560262582,64,128,88,179
4,62,15,16,2,0.9944893572936985,64,128,62,126
5,62,15,32,2,0.9872449949522187,64,128,43,88
6,62,15,64,3,0.9495267464912274,64,128,29,61
7,62,15,128,2,0.9648909297586303,64,128,20,43
8,62,15,256,3,0.906933733235232,64,128,13,29
9,62,51,1,0,1.0,64,128,256,512
10,62,51,2,15,0.9988552704274527,64,128,256,347
11,62,51,4,25,0.9960925733449228,64,128,256,231
12,62,51,8,31,0.9909302908988699,64,128,256,150
13,62,51,16,33,0.9948487169235373,64,128,256,95
14,62,51,32,33,0.9780141155042475,64,128,256,57
15,62,51,64,31,0.9746915107528115,64,128,256,33
16,62,51,128,27,0.9559093583034042,64,128,256,18
17,62,51,256,22,0.9988084899760624,64,128,256,10
18,20,15,1,0,1.0,64,128,256,512
19,20,15,2,1,0.9963634764461825,64,128,180,361
20,20,15,4,2,0.9877420917991433,64,128,126,254
21,20,15,8,1,0.9994329337547962,64,128,89,180
22,20,15,16,2,0.9899266452885929,64,128,62,126
23,20,15,32,2,0.9802425777788709,64,128,43,88
24,20,15,64,2,0.9927734113317311,64,128,30,62
25,20,15,128,2,0.9496622809468402,64,128,20,43
26,20,15,256,2,0.992377579674965,64,128,14,30
27,20,51,1,0,1.0,64,128,256,512
28,20,51,2,15,0.9968082829236539,64,128,256,347
29,20,51,4,24,0.998647715310619,64,128,256,232
30,20,51,8,30,0.993493945907013,64,128,256,151
31,20,51,16,32,0.9986551791330717,64,128,256,96
32,20,51,32,32,0.985821669555788,64,128,256,58
33,20,51,64,30,0.9922533519893353,64,128,256,34
34,20,51,128,26,0.9948038467474661,64,128,256,19
35,20,51,256,22,0.9751590660518965,64,128,256,10
36,19,15,1,0,1.0,64,128,256,512
37,19,15,2,1,0.9963482213484574,64,128,180,361
38,19,15,4,2,0.987705338719043,64,128,126,254
39,19,15,8,1,0.9993660454868971,64,128,89,180
40,19,15,16,2,0.9898178371918722,64,128,62,126
41,19,15,32,2,0.9800755894429376,64,128,43,88
42,19,15,64,2,0.9925234577463896,64,128,30,62
43,19,15,128,2,0.9492991196754335,64,128,20,43
44,19,15,256,2,0.9918571932908593,64,128,14,30
45,19,51,1,0,1.0,64,128,256,512
46,19,51,2,15,0.9967592589198361,64,128,256,347
47,19,51,4,24,0.9985364244620998,64,128,256,232
48,19,51,8,30,0.9933070362065487,64,128,256,151
49,19,51,16,32,0.9983809957925619,64,128,256,96
50,19,51,32,32,0.9854593547030869,64,128,256,58
51,19,51,64,30,0.9918044702005183,64,128,256,34
52,19,51,128,26,0.9942827976653974,64,128,256,19
53,19,51,256,22,0.9745926779100069,64,128,256,10
